id,currency,rho,rho-to-call,rho-to-maturity
e4f322cb-ac2a-4106-801e-d0cbcce824c6,USD,-1.623093,-1.975044,-1.975044
cde53ec0-9d7a-4cc4-a8a7-458229a97ed2,USD,-0.308018,-0.308018,-0.308018
40b70c1c-ec83-414f-9bbb-75d0129b10f5,NOK,-0.009243,-0.009243,-0.009243
343b6090-8b49-44ed-9d0d-80f883b04f32,USD,-0.951955,1.037357,1.037357
b2b0073c-c4d7-4dbd-a3d1-43a0d1b9c899,USD,-2.045083,-0.274265,-0.274265
daa0bff1-9d5c-4db7-83e9-77615f90ef22,USD,-1.795923,-2.080193,-2.080193
cfacdbd3-25cb-4f7b-8142-089d0cf9b6ac,EUR,-4.309963,-4.459506,-4.459506
cf78a953-d16d-4e5d-b4ac-5ab8d494b4fd,USD,-1.404881,-1.404881,-1.404881
49914036-0c3f-4995-8415-cd983bfa0196,USD,-2.516921,-0.114289,-0.114289
c3c7fb44-ef3a-4021-b2a9-f36748f1755f,SEK,-0.009925,0.022461,0.022461
83cd9632-38c6-4225-a9fe-e1a1a2404fba,USD,-2.488356,-0.920792,-0.920792
fc81adc8-1057-400e-8287-b0407b19a742,SGD,-4.582031,-4.582031,-4.582031
7aaa2683-1257-485d-b7f8-f4ad14bdd40e,USD,-5.568387,-5.568387,-5.568387
138d20a7-5f8d-4c28-b593-435ab20919c2,USD,-2.196822,-2.546488,-2.546488
c98815d6-b239-4bd6-add3-d098f6af4344,USD,-3.282979,-3.282979,-3.282979
5f7a830c-8edd-4d91-a130-b13951cdd89f,USD,-2.207976,-2.259267,-2.259267
